job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,simple.entity_embedder.regularize_weight,simple.relation_embedder.regularize_weight,simple.entity_embedder.dropout,simple.relation_embedder.dropout,KvsAll.label_smoothing
be21ee84,fb15k-237,simple,0,search,KvsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.1672468539483532,0,1dd33f70,256.0,Adam,0.018490004102958806,0.0,512.0,normal_,0.0013033639848664682,-0.6162258040022663,lp,False,2.899838613510236e-10,4.903391243418628e-17,0.09956116508692503,-0.046930912882089615,-0.08260919786989687
be21ee84,fb15k-237,simple,0,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0224436311528728,1,71619980,1024.0,Adam,0.0005896547522643507,4.0,32.0,xavier_normal_,0.02550878138609953,-0.7880745451478287,lp,False,2.820849654387234e-18,7.664456914924019e-16,0.4753393745049834,0.49024499859660864,-0.2296326119452715
be21ee84,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.2516771980592386,2,d28fb49f,128.0,Adagrad,0.16439060730130223,7.0,128.0,uniform_,5.01371056559006e-05,-0.29228300147634,,True,0.0073014642865652695,6.012923764154594e-11,-0.1561510358005762,-0.25455773435533047,0.14422366507351397
d46847a1,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,195,,,,mean_reciprocal_rank_filtered_with_test,0.3241283615804106,3,ed897ffc,1024.0,Adam,0.009854494180169312,4.0,128.0,xavier_normal_,0.006665120807770487,-0.6690303783815261,lp,True,9.56770414413302e-07,6.841809324170976e-05,0.19485723972320557,0.3163783233612776,0.048644875176250935
d46847a1,fb15k-237,simple,0,search,KvsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.278549903541132,4,01763953,128.0,Adagrad,0.11739633036576107,5.0,64.0,normal_,3.706315896239375e-05,-0.15688205324164584,lp,False,1.4482566307423789e-12,5.397653857158094e-19,-0.4363479008898139,-0.4231593208387494,-0.1703819816932082
d46847a1,fb15k-237,simple,0,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0005661690578455,5,97b7fe5b,512.0,Adagrad,0.0011800602325355372,9.0,512.0,xavier_uniform_,0.22700807633410433,-0.4857149842647184,lp,False,1.7873410581811339e-06,4.5075708695349456e-13,-0.06017294805496931,0.11656495183706284,-0.024530415795743443
d46847a1,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.0116901276966156,6,e47b427d,256.0,Adam,0.8122345110868422,2.0,32.0,normal_,0.0004122716131351339,-0.9969940439579357,,True,2.049235242132978e-19,1.816143915779695e-08,0.31715646013617516,-0.13081665616482496,0.20160315949469804
d46847a1,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0309681488028407,7,456966e6,1024.0,Adagrad,0.04995845960708231,1.0,16.0,xavier_normal_,0.0002146725364205198,-0.8744036914720945,lp,False,4.38406217786412e-12,4.10304379894215e-20,-0.4973660968244076,0.1445981552824378,0.23198127374052996
d46847a1,fb15k-237,simple,0,search,KvsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.157234985943292,8,e75de352,128.0,Adam,0.011554168888739615,9.0,512.0,normal_,0.0866151861500707,-0.3621481982525997,lp,True,2.0404723984547294e-08,1.0358692224293351e-05,0.12898579705506563,-0.10031714104115963,-0.14657229334115982
d46847a1,fb15k-237,simple,0,search,KvsAll,valid,25,,,,mean_reciprocal_rank_filtered_with_test,0.031215258517563,9,7a48f7f2,512.0,Adam,0.41699746464349563,7.0,64.0,uniform_,1.695190987495679e-05,-0.03435670269619673,,True,4.0330197640570045e-20,6.625928740629878e-07,0.2571749025955796,0.40694394055753946,-0.29132752418518065
d46847a1,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0020935630743952,10,b4b6c28f,256.0,Adagrad,0.0016708058257819554,2.0,256.0,xavier_uniform_,0.004148621090709115,-0.5455283558936044,lp,False,0.0001391739455867785,8.345182444420151e-12,-0.12305272370576859,-0.3301922269165516,0.07558290436863901
d46847a1,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,65,,,,mean_reciprocal_rank_filtered_with_test,0.2226550804640718,11,9f2a964e,512.0,Adam,0.04628634753717696,6.0,128.0,xavier_normal_,0.00010974355466783977,-0.4148113322242256,lp,False,1.2361954062556257e-09,2.912979817211977e-17,0.03753350488841534,0.2708112671971321,0.022191650234162807
d46847a1,fb15k-237,simple,0,search,KvsAll,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.0008782970079302,12,b3799471,256.0,Adagrad,0.0034765263453477337,4.0,64.0,uniform_,0.040942497502965344,-0.911579309421992,lp,True,1.2868534191599905e-15,0.0036478483475418217,-0.34298129472881556,-0.47646922152489424,-0.1992643581703305
d46847a1,fb15k-237,simple,0,search,KvsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.2308335059791132,13,06f58052,1024.0,Adagrad,0.3005018100260888,2.0,256.0,xavier_uniform_,0.0025076897422075806,-0.7388112689561117,,True,0.002020927729385932,4.368898995308019e-09,-0.21531100291758776,0.03312654606997967,-0.05568104702979326
d46847a1,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0299386613213305,14,79b8c2f1,128.0,Adam,0.0003908421904367149,8.0,16.0,uniform_,0.6788224835688408,-0.24340178723697548,lp,False,1.5618750372213113e-16,1.0971976112850113e-13,0.41126702912151814,-0.2063137935474515,0.17741811778396366
d46847a1,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,145,,,,mean_reciprocal_rank_filtered_with_test,0.2779239233586398,15,60f49b81,1024.0,Adam,0.0008425638908237875,7.0,64.0,uniform_,0.011503139750605134,-0.8210109154692664,,True,0.05684893493376734,4.567594941726055e-16,-0.34862829092890024,-0.0053682709112763405,0.10157553870230912
d46847a1,fb15k-237,simple,0,search,KvsAll,valid,135,,,,mean_reciprocal_rank_filtered_with_test,0.2965887143124465,16,c2cacce2,128.0,Adagrad,0.6571797393137374,3.0,128.0,xavier_normal_,2.1493811974471437e-05,-0.31739169128630307,lp,False,2.225834535129237e-17,0.05757597742880772,0.028959324583411217,0.24203208275139332,-0.2792524745687842
d46847a1,fb15k-237,simple,0,search,KvsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0008347668741583,17,7a751bc4,512.0,Adagrad,0.007505756220047939,0.0,16.0,uniform_,0.13302116357708813,-0.02051034504106264,lp,False,3.694689338502955e-11,2.771418429384556e-10,0.4051952753216028,-0.2986875018104911,-0.12627813275903463
d46847a1,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.0755216617546157,18,265d4bd9,256.0,Adam,0.10147698374090615,10.0,256.0,xavier_uniform_,0.0007029512558295387,-0.5246936619411968,lp,True,1.0739943996492583e-14,6.988763069147454e-15,-0.22626807261258364,0.44086888805031776,0.24744759667664767
d46847a1,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0007235004652386,19,0e387608,512.0,Adagrad,0.0008007784844643444,1.0,512.0,normal_,0.44235710727434757,-0.4053671694223303,,True,1.5997929573924545e-18,6.205847974758187e-19,0.18736445624381304,-0.3790332078933716,0.1520107615739107
d46847a1,fb15k-237,simple,0,search,KvsAll,valid,15,,,,mean_reciprocal_rank_filtered_with_test,0.0337106966312909,20,7fc3070a,256.0,Adam,0.19661846101090566,9.0,32.0,uniform_,0.0007637343410039028,-0.893193704854073,lp,False,1.4065681251934102e-05,0.00015561622410878792,-0.4438672699034214,0.36575805116444826,-0.0671693880110979
d46847a1,fb15k-237,simple,0,search,KvsAll,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.2769079864823923,21,f5329f85,1024.0,Adam,0.005529480363354634,5.0,256.0,xavier_uniform_,0.014793218164564768,-0.6907971734863426,lp,False,1.8501603228651987e-13,4.404247525628396e-08,-0.06815013289451599,-0.17238294519484043,-0.22131563164293766
d46847a1,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0401645926896207,22,05c1fbc6,128.0,Adagrad,0.02349790111730207,5.0,64.0,xavier_normal_,8.653062982012823e-05,-0.2020708553349878,lp,True,1.2060905758055428e-07,5.525429286098523e-13,0.30914482567459345,0.06462537031620741,0.004966783896088622
d46847a1,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,80,,,,mean_reciprocal_rank_filtered_with_test,0.1111166617657542,23,56d5c945,512.0,Adam,0.23010039439302968,3.0,64.0,normal_,0.00013217132526236106,-0.07557541321281336,lp,False,7.146825485003628e-05,4.357982430393227e-06,-0.3799794679507613,-0.08181911613792181,0.12861768510192634
d46847a1,fb15k-237,simple,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.0007760277697256,24,be19cfb9,256.0,Adagrad,0.00034014624090396756,8.0,256.0,uniform_,0.03402474642844838,-0.5633250594216958,,True,2.0544908573824474e-20,3.424012202221449e-20,0.24633797258138657,0.1575942523777485,-0.2497871847823262
d46847a1,fb15k-237,simple,0,search,KvsAll,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.0276597596520129,25,3642796a,1024.0,Adagrad,0.03334031439401626,9.0,32.0,normal_,0.0021057305132385043,-0.7667629592015408,lp,True,3.984186729881718e-08,7.114538250544054e-12,0.3740692771971226,-0.35099797789007425,-0.09454001057893038
d46847a1,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,385,,,,mean_reciprocal_rank_filtered_with_test,0.3175265818808811,26,20e8819f,128.0,Adam,0.0028447561401542054,0.0,512.0,xavier_uniform_,0.8076958433549848,-0.2779599902435206,lp,False,8.675156461344362e-12,2.8477450855822057e-07,-0.0061849309131503105,0.39625553973019123,0.2722169822081923
d46847a1,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2769061764863131,27,dc9ca2ab,1024.0,Adagrad,0.5983689185625316,8.0,512.0,normal_,0.0002554264585592749,-0.6511290567095298,lp,False,8.041945373137832e-17,0.0008096047643225018,0.09202553611248732,-0.45565185882151127,0.21896761134266857
d46847a1,fb15k-237,simple,0,search,KvsAll,valid,365,,,,mean_reciprocal_rank_filtered_with_test,0.2485123502994012,28,9d7d0d78,128.0,Adam,0.0021136064311705594,2.0,16.0,xavier_uniform_,0.07273125689494923,-0.14792241175186815,,True,0.001026750796472813,3.259272111272932e-18,-0.2884622048586607,0.28148803394287825,-0.0026188015937805287
d46847a1,fb15k-237,simple,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.1696056547619047,29,dbf2dc8c,512.0,Adam,0.06713616186684083,4.0,128.0,uniform_,1.4087762845303692e-05,-0.4438843916222359,lp,True,2.5194037981914796e-15,1.1514156947268204e-14,-0.1603341568261385,-0.2248002141714096,-0.15903780609369278
d46847a1,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0194094981771947,30,e598abe6,256.0,Adagrad,0.013695146505037357,6.0,32.0,xavier_normal_,0.004996484281810735,-0.9484800493314769,lp,False,2.439652653790932e-09,9.094532065849839e-10,0.4662778517231345,0.020118807442486286,0.07419646605849267
d46847a1,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,25,,,,mean_reciprocal_rank_filtered_with_test,0.2434769690529655,31,d76ed3c9,1024.0,Adam,0.03952023271998725,2.0,512.0,xavier_uniform_,0.09740626430055807,-0.18426505287633277,lp,True,7.422981010974158e-15,6.286449797460638e-11,0.37707857321947813,0.12506461329758167,-0.19227201193571092
d46847a1,fb15k-237,simple,0,search,KvsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.000577343009903,32,012df807,128.0,Adagrad,0.0029722357372892333,8.0,32.0,xavier_normal_,0.000190312735556768,-0.6729607345466408,,False,6.0029839763368086e-09,1.5765052894891553e-15,-0.24558140896260738,-0.1120336139574647,0.033931010216474544
d46847a1,fb15k-237,simple,0,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.3349356810931708,33,c68776d3,512.0,Adagrad,0.35162343212359926,6.0,128.0,normal_,0.0037251592976629243,-0.9696251183292549,lp,False,6.371330188401817e-17,1.1079429535429174e-16,-0.367392310872674,0.4264700450003147,0.17987403050065037
d46847a1,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,90,,,,mean_reciprocal_rank_filtered_with_test,0.3034493234513116,34,596d38b1,256.0,Adam,0.00045769360273432584,4.0,64.0,xavier_normal_,1.8826786877808215e-05,-0.4817681848326605,lp,True,0.0006940169432460207,0.0138987411379453,0.0013919388875365257,-0.31846834626048803,-0.039368632435798634
d46847a1,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1869717039136013,35,49d073ea,512.0,Adagrad,0.054868187222877424,7.0,32.0,uniform_,0.04994267804039856,-0.6045429988109321,lp,True,8.352329228775115e-08,1.2346597989410735e-08,-0.08692273404449224,0.2512777643278241,-0.1348054664209485
d46847a1,fb15k-237,simple,0,search,KvsAll,valid,155,,,,mean_reciprocal_rank_filtered_with_test,0.3026151658736099,36,1eef616b,256.0,Adam,0.012699685657153181,2.0,128.0,xavier_normal_,9.02237736804137e-05,-0.1003292838459462,,False,3.0001758136911723e-11,1.5564575600742237e-13,0.28159746527671814,-0.48818573355674744,0.2389827763661742
d46847a1,fb15k-237,simple,0,search,KvsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0212254446185753,37,def0eb87,1024.0,Adam,0.37933167898077813,1.0,16.0,normal_,0.5525454157213774,-0.3039803575060702,lp,False,4.028742607757911e-05,1.6966504490594176e-19,0.15926777943968773,0.05265267472714186,0.09186785425990818
d46847a1,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.0008609152805577,38,ee9e3733,128.0,Adagrad,0.001521888464273502,10.0,512.0,uniform_,0.0030887805989885087,-0.8075689452079869,lp,True,1.9518185485057003e-20,4.2781337055711537e-05,-0.46318918745964766,-0.19458993710577488,-0.28888076562434434
d46847a1,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,130,,,,mean_reciprocal_rank_filtered_with_test,0.3192586367443684,39,f8535324,512.0,Adam,0.008972926901047234,9.0,256.0,xavier_uniform_,0.0011706865410067858,-0.9311320059670601,,False,3.854020111878351e-13,3.1360485640750676e-11,0.34744030702859163,0.2096245475113392,-0.18690955080091953
d46847a1,fb15k-237,simple,0,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2695083605111206,40,ee61c063,256.0,Adagrad,0.10680662406493838,1.0,16.0,xavier_normal_,0.2880174485485942,-0.4265667463226709,lp,True,4.245443730533234e-07,1.2626023239592553e-06,-0.025994177907705307,-0.03521659877151251,0.04640411473810674
d46847a1,fb15k-237,simple,0,search,KvsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0006253852985644,41,8346601c,1024.0,Adagrad,0.001297203176638678,5.0,128.0,normal_,5.637612221263541e-05,-0.2238350315869133,lp,True,9.14838252555016e-19,1.796273325552198e-05,-0.4002159610390663,0.47071720845997334,0.18993246741592884
d46847a1,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.0328366808514667,42,9a8d4550,128.0,Adam,0.8917180548942409,5.0,64.0,xavier_uniform_,0.022627061431180363,-0.7270723130256217,lp,False,1.3304619040111526e-05,1.4186798315549882e-19,0.21928175631910563,-0.26627995911985636,-0.03159143216907978
42e0e072,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0009042143243855,43,d77571e5,1024.0,Adagrad,0.004481387672193392,3.0,64.0,uniform_,3.0164621918249546e-05,-0.35826708620749415,,False,1.084608436561816e-10,4.108088531368924e-14,-0.1805639723315835,0.33591395895928144,-0.08484080191701651
42e0e072,fb15k-237,simple,0,search,KvsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.1929299882378101,44,434bda10,128.0,Adam,0.021627631734441866,7.0,256.0,xavier_normal_,0.008214269715412666,-0.847100691646561,lp,True,2.682708161589727e-14,3.227943040111943e-09,0.43919588439166546,-0.41144497133791447,0.2818536775186658
42e0e072,fb15k-237,simple,0,search,KvsAll,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.0305157994557759,45,2af69ca4,512.0,Adam,0.0005039317623874853,10.0,16.0,xavier_uniform_,0.0005030548668497153,-0.5493949320013263,lp,True,0.045813482417882974,0.0029617090975273238,0.06537081487476826,0.09703714121133089,0.13715349454432724
42e0e072,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.2865056716923296,46,e31c5afe,256.0,Adagrad,0.14037662712700777,0.0,512.0,xavier_normal_,0.18655690682360002,-0.061675683857295605,lp,False,1.4940419686962632e-17,1.1853880701906056e-17,-0.3082647742703557,-0.1425388604402542,-0.2413307687267661
42e0e072,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,385,,,,mean_reciprocal_rank_filtered_with_test,0.344316500926718,47,a3e0dc08,512.0,Adagrad,0.5104572500519929,4.0,256.0,xavier_normal_,0.02928527345443383,-0.8893433447728585,lp,True,0.005430740011141837,2.838676678963539e-15,0.4945840444415808,-0.07010308280587196,-0.014243698306381725
42e0e072,fb15k-237,simple,0,search,KvsAll,valid,290,,,,mean_reciprocal_rank_filtered_with_test,0.3161748489627887,48,46b6bfd4,256.0,Adam,0.0018009867585521094,6.0,64.0,uniform_,0.00015394667964014014,-0.37803388701478946,lp,False,5.052603662431566e-16,2.2393076005418756e-10,-0.12810299638658762,0.17712823394685984,0.2118242165073752
42e0e072,fb15k-237,simple,0,search,KvsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.1653352613968491,49,2908db4b,1024.0,Adam,0.0787618711845616,8.0,512.0,xavier_normal_,0.9529470951957912,-0.20596819085710683,,False,7.692056101998623e-10,0.042633167484216326,-0.250371684320271,-0.3627223130315542,0.057769623957574345
